epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,599.737,1.20993,9.2081,0.46274,0.85572,1.73125,0.82264,0.80302,0.87637,0.55293,0.02808,0.01908,0.00159,0.00023,1.44549,8.32808,0.23472,0.91328,1.69037,0.00333115,0.00333115,0.00333115
2,1164.06,1.00229,6.55702,0.27878,0.59612,1.4676,0.91868,0.90394,0.96153,0.71858,0.4118,0.24539,0.13981,0.04347,1.07316,6.51491,0.14943,0.63549,1.32448,0.00662049,0.00662049,0.00662049
3,1722.53,1.06293,6.26351,0.24089,0.70777,1.52158,0.90486,0.83286,0.92126,0.58349,0.39764,0.24308,0.12621,0.02558,1.46123,6.60675,0.12099,0.88435,1.59261,0.00986584,0.00986584,0.00986584
4,2278.11,1.10104,6.05456,0.21714,0.76298,1.54631,0.90229,0.85156,0.93471,0.58103,0.85748,0.46952,0.47562,0.1865,1.53046,5.31112,0.10708,0.84675,1.69331,0.009802,0.009802,0.009802
5,2833.25,1.01043,5.33342,0.19969,0.67108,1.45709,0.92876,0.9066,0.9641,0.69804,0.78119,0.5301,0.53079,0.23,1.18982,4.60731,0.09914,0.65166,1.3539,0.009736,0.009736,0.009736
6,3389.03,0.96009,4.88448,0.18536,0.60549,1.39936,0.94976,0.91764,0.97178,0.71524,0.69649,0.5155,0.51315,0.25384,1.14148,4.58296,0.08334,0.58997,1.29638,0.00967,0.00967,0.00967
7,3946.86,0.90834,4.53334,0.17318,0.55814,1.3541,0.93371,0.91275,0.96826,0.71264,0.74168,0.56007,0.53465,0.25979,1.0797,4.44597,0.08228,0.60377,1.27203,0.009604,0.009604,0.009604
8,4510.44,0.88275,4.31506,0.16635,0.52935,1.32328,0.95332,0.93891,0.97958,0.76625,0.79751,0.60041,0.62487,0.34892,0.96241,3.92104,0.07756,0.53021,1.16726,0.009538,0.009538,0.009538
9,5067.63,0.85395,4.14984,0.16257,0.50487,1.3026,0.95665,0.93264,0.97939,0.75913,0.72034,0.59612,0.54981,0.29644,0.96141,4.03374,0.06846,0.51307,1.17383,0.009472,0.009472,0.009472
10,5621.9,0.83612,3.98619,0.15978,0.48877,1.28446,0.95953,0.95402,0.9846,0.77877,0.77942,0.64396,0.64742,0.38865,0.95292,3.6697,0.06256,0.49319,1.15982,0.009406,0.009406,0.009406
